id,session_id,tg_user_id,event_type,event_name,page,metadata,created_at,event_category,event_subtype,element_id,element_type,section,scroll_depth,time_spent,interaction_count,previous_event_id,step_number,completion_rate,error_message,custom_data
588,63,,app,miniapp_open,,,2026-01-25 19:26:42,engagement,,,,,,,,,,,,"{""device"": ""mobile"", ""page_id"": ""main"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
589,63,,content,content_view,,,2026-01-25 19:26:42,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
590,63,,content,personal_path_view,,,2026-01-25 19:26:43,engagement,,,,,,0,,,,,,"{""open_time"": 1769369202503, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
591,57,,content,content_view,,,2026-01-25 19:27:22,engagement,,,,,0,6378,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
592,63,,content,content_view,,,2026-01-25 19:27:34,engagement,,,,,0,51,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
593,57,,content,personal_path_view,,,2026-01-25 19:30:17,engagement,,,,,,0,,,,,,"{""open_time"": 1769369416827, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
594,57,,content,personal_path_view,,,2026-01-25 19:30:17,engagement,,,,,,0,,,,,,"{""open_time"": 1769369416827, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
595,63,,content,content_view,,,2026-01-25 19:31:38,engagement,,,,,0,294,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
596,57,,content,content_view,,,2026-01-25 19:33:11,engagement,,,,,0,6726,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
597,63,,content,content_view,,,2026-01-25 19:33:15,engagement,,,,,0,391,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
598,64,,visit,source_visit,,,2026-01-25 19:34:29,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": """"}"
599,64,,app,miniapp_open,,,2026-01-25 19:34:30,engagement,,,,,,,,,,,,"{""device"": ""desktop"", ""page_id"": ""main"", ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
600,64,,content,content_view,,,2026-01-25 19:34:30,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
601,64,,content,content_view,,,2026-01-25 19:34:30,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
602,64,,content,personal_path_view,,,2026-01-25 19:34:31,engagement,,,,,,0,,,,,,"{""open_time"": 1769369670398, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
603,64,,content,personal_path_view,,,2026-01-25 19:34:31,engagement,,,,,,0,,,,,,"{""open_time"": 1769369670398, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
604,63,,content,content_view,,,2026-01-25 19:34:34,engagement,,,,,0,470,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
605,64,,content,content_view,,,2026-01-25 19:34:35,engagement,,,,,0,5,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
606,64,,content,personal_path_view,,,2026-01-25 19:34:48,engagement,,,,,,0,,,,,,"{""open_time"": 1769369688136, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
607,64,,content,personal_path_view,,,2026-01-25 19:34:48,engagement,,,,,,0,,,,,,"{""open_time"": 1769369688136, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
608,64,,content,content_view,,,2026-01-25 19:36:24,engagement,,,,,0,113,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
609,64,,content,content_view,,,2026-01-25 19:36:38,engagement,,,,,0,128,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""a50fab0e-d088-4851-8b0c-67d73f8639ca""}"
610,57,,content,content_view,,,2026-01-25 19:37:08,engagement,,,,,0,6963,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
611,65,,visit,source_visit,,,2026-01-25 19:37:17,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": ""https://spacegrow.vercel.app/""}"
612,65,,app,miniapp_open,,,2026-01-25 19:37:17,engagement,,,,,,,,,,,,"{""device"": ""desktop"", ""page_id"": ""main"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
613,65,,content,content_view,,,2026-01-25 19:37:18,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
614,65,,content,personal_path_view,,,2026-01-25 19:37:18,engagement,,,,,,0,,,,,,"{""open_time"": 1769369837834, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
